temperatura	precipitación	velocidad_viento	Caudal	N_de_accidentes
11	17	28	21,33	1
7	6	8	14	1
16	33	30	32	8
28	0	9	10	2
11	21	9	24	8
20	4	13	12,67	5
26	2	16	11,33	1
27	3	28	12	5
19	69	16	30	8
3	5	8	13,33	1
19	14	8	19,33	4
12	62	28	51,33	4
26	0	22	10	5
23	3	15	12	2
23	3	11	12	9
14	53	11	29	9
20	2	10	12	5
5	2	24	10	9
6	3	15	12	8
20	5	30	15	5
26	2	19	17,6	2
27	4	22	10	7
21	3	13	12	2
6	7	10	20,3	1
23	4	9	12,67	5
20	1	21	10,67	3
18	13	27	18,67	10
10	7	12	14,67	10
26	1	8	10,67	3
