,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
0,Tuvalu,TUV,Pacific,3174.05,,0.0109999999403954,,1.34,,16.5366382598877
1,Liberia,LBR,SubSaharian,488.26999000000006,0.42699999,,53.599998474121094,3.72,14.2,10.036333084106447
2,Togo,TGO,SubSaharian,1036.28,0.484,6.928999900817871,,1.4400001,,5.2468767166137695
3,Peru,PER,LatAm,9227.1504,0.73699999,30.80900001525879,14.100000381469732,5.380000099999998,,5.473034858703613
4,Sao Tome and Principe,STP,SubSaharian,2150.55,0.565,,,5.6900001,,8.353466033935549
5,Antigua and Barbuda,ATG,Caribbean,12257.71,0.78399998,,,8.5600004,,5.541683197021484
6,Panama,PAN,LatAm,15137.04,0.78500003,3.788000106811523,15.899999618530268,6.7399998,7.400000099999999,8.025723457336426
7,Tunisia,TUN,NorthAfrica,6912.2798,0.72299999,,13.800000190734858,1.39,,7.003858089447022
8,Malta,MLT,WesternDem,24094.641,0.85299999,0.42500001192092896,5.800000190734862,8.489999800000001,25.9,9.749919891357422
9,Hungary,HUN,EastEurope,18310.811,0.83399999,9.876999855041504,5.300000190734863,10.88,29.6,7.400781154632567
10,Morocco,MAR,NorthAfrica,3999.5601,0.64499998,33.179000854492195,26.79999923706055,0.43000001,22.0,5.907778263092041
11,Nepal,NPL,SouthAsia,1462.08,0.55500001,28.17499923706055,33.59999847412109,0.27000001,24.6,5.7972259521484375
12,Czech Republic,CZE,EastEurope,23847.08,0.875,10.51200008392334,3.0999999046325684,12.68,33.400002,7.410911560058594
13,Austria,AUT,WesternDem,38868.039,0.89200002,8.543999671936035,3.299999952316284,12.32,,11.20547294616699
14,Ethiopia (1993-),ETH,SubSaharian,900.77002,0.44100001,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865
15,Mongolia,MNG,EastAsia,6277.8999,0.73299998,2.881999969482422,23.0,,26.799999,4.730341911315918
16,Greece,GRC,WesternDem,25295.27,0.86500001,10.927000045776367,4.099999904632568,7.530000200000001,43.400002,8.084266662597656
17,Gabon,GAB,SubSaharian,14525.28,0.69400001,,42.400001525878906,8.8599997,,3.437471628189087
